subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4001	3/18/22 21:16	3/18/22 21:16			3/18/22 21:16	3/18/22 21:16					3/18/22 21:16			12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4002	3/24/22 12:17	3/24/22 12:34	3/24/22 12:17		3/24/22 12:35	3/21/22 19:24	3/24/22 12:26	3/24/22 12:34	3/24/22 12:25		2022-04-19 12:49:19	3/24/22 12:32		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4005	3/21/22 18:31	3/21/22 18:31	3/1/22 18:21		3/21/22 18:31	3/21/22 18:31	3/1/22 18:21	3/1/22 18:21	3/1/22 18:21		2022-04-19 12:26:24	3/1/22 18:21		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4008	3/24/22 10:56	3/24/22 11:14	3/24/22 10:56		3/24/22 11:15	3/24/22 11:16	3/24/22 10:59	3/24/22 10:58	3/24/22 11:07		2022-04-19 12:51:36	3/24/22 11:14		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4009	3/21/22 18:20	3/21/22 18:20	3/1/22 18:23		3/21/22 18:20	3/21/22 18:20	3/1/22 18:24	3/1/22 18:24	3/1/22 18:24		2022-04-19 12:25:58	3/1/22 18:24		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4011														12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4012	3/21/22 19:28	3/21/22 19:28	3/1/22 17:44		3/21/22 19:28	3/21/22 19:28	3/1/22 17:44	3/1/22 17:44	3/1/22 17:44			3/1/22 17:44		12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4015	3/1/22 18:20		3/1/22 18:20				3/1/22 18:20	3/1/22 18:20	3/1/22 18:20			3/1/22 18:20		12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4019	3/21/22 19:05	3/21/22 19:05	3/1/22 18:44		3/21/22 19:05	3/21/22 19:05	3/1/22 18:44	3/1/22 18:44	3/1/22 18:44			3/1/22 18:44		12/20/21 9:18	12/20/21 9:18	11/22/21 11:21
sub-4020	3/21/22 19:06	3/21/22 19:06	3/3/22 0:35		3/21/22 19:06	3/21/22 19:06	3/3/22 0:36	3/3/22 0:35	3/3/22 0:35			3/3/22 0:35		12/20/21 9:17	12/20/21 9:17	11/22/21 11:20
sub-4021	3/2/22 22:20		3/2/22 22:20				3/2/22 22:20	3/2/22 22:20	3/2/22 22:20			3/2/22 22:20				11/22/21 11:21
sub-4022	3/2/22 12:02		3/2/22 12:02				3/2/22 12:02	3/2/22 12:02	3/2/22 12:02			3/2/22 12:02				11/22/21 11:20
sub-4024	3/2/22 12:31		3/2/22 12:31				3/2/22 12:32	3/2/22 12:31	3/2/22 12:32			3/2/22 12:32		12/20/21 9:18	12/20/21 9:18	11/22/21 11:21
sub-4028	3/2/22 13:22		3/2/22 13:22				3/2/22 13:22	3/2/22 13:22	3/2/22 13:22			3/2/22 13:22				11/22/21 11:21
sub-4030	3/2/22 12:46		3/2/22 12:46				3/2/22 12:46	3/2/22 12:46	3/2/22 12:46			3/2/22 12:46				11/22/21 11:21
sub-4033	3/2/22 12:48		3/2/22 12:48				3/2/22 12:48	3/2/22 12:48	3/2/22 12:49			3/2/22 12:48		12/20/21 9:17	12/20/21 9:17	11/22/21 11:21
sub-4034	3/2/22 13:22		3/2/22 13:22				3/2/22 13:22	3/2/22 13:22	3/2/22 13:22			3/2/22 13:22		12/20/21 9:17	12/20/21 9:17	11/29/21 13:27
sub-4036	3/2/22 13:09		3/2/22 13:09				3/2/22 13:09	3/2/22 13:09	3/2/22 13:09			3/2/22 13:09		12/20/21 9:18	12/20/21 9:18	11/29/21 13:26
sub-4037	3/2/22 12:12		3/2/22 12:12				3/2/22 12:13	3/2/22 12:12	3/2/22 12:12			3/2/22 12:13		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4038	3/3/22 0:08		3/3/22 0:08				3/3/22 0:08	3/3/22 0:08	3/3/22 0:08			3/3/22 0:08		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4042	3/2/22 23:30		3/2/22 23:30				3/2/22 23:30	3/2/22 23:30	3/2/22 23:30			3/2/22 23:30		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4043	3/2/22 20:35		3/2/22 20:35				3/2/22 20:35					3/2/22 20:35		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4044	3/3/22 0:18		3/3/22 0:18				3/3/22 0:18	3/3/22 0:18	3/3/22 0:18			3/3/22 0:18		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4045	3/2/22 23:22		3/2/22 23:22				3/2/22 23:22	3/2/22 23:22	3/2/22 23:22			3/2/22 23:22		12/20/21 9:17	12/20/21 9:17	11/29/21 13:27
sub-4046	3/3/22 0:13		3/3/22 0:13				3/3/22 0:13	3/3/22 0:13	3/3/22 0:13			3/3/22 0:13		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4047	3/2/22 22:09		3/2/22 22:09				3/2/22 22:09	3/2/22 22:09	3/2/22 22:09			3/2/22 22:09		12/20/21 9:18	12/20/21 9:18	11/29/21 13:45
sub-4049	3/3/22 0:11		3/3/22 0:11				3/3/22 0:12	3/3/22 0:12	3/3/22 0:12			3/3/22 0:12		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4050	3/24/22 12:00		3/24/22 12:00				3/24/22 12:17	3/24/22 12:08	3/24/22 12:09			3/24/22 12:17		12/20/21 9:17	12/20/21 9:17	11/29/21 13:46
sub-4051	3/3/22 0:12		3/3/22 0:12				3/3/22 0:12	3/3/22 0:12	3/3/22 0:12			3/3/22 0:12		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4052	3/2/22 23:49		3/2/22 23:49				3/2/22 23:49	3/2/22 23:49	3/2/22 23:49			3/2/22 23:49		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4055																
sub-4057																
sub-4059																
sub-4062																
sub-4063																
sub-4064																
sub-4065																
sub-4066																
sub-4067																
sub-4070																
sub-4077																
sub-4080																
sub-4081																
sub-4082																
sub-4083																
sub-4084																
sub-4085																
sub-4086																
sub-4088																
sub-4090																
sub-4091																
sub-4096																
sub-4097																
sub-4101																
sub-4102																
sub-4104																
sub-4106																
sub-4107																
sub-4108																
sub-4109																
sub-4110																
sub-4111																
sub-4114																
sub-4115																
sub-4116																
sub-4117																
sub-4118																
sub-4119																
sub-4121																
sub-4122																
sub-4123																
sub-4124																
sub-4125																
sub-4127																
sub-4129																
sub-4130																
sub-4131																
sub-4132																
sub-4134																
sub-4138																
sub-4140																
sub-4142																
sub-4143																
sub-4144																
sub-4146																
sub-4149																
sub-4151																
sub-4152																
sub-4153																
sub-4154																
sub-4160																
sub-4164																
sub-4165																
sub-4166																
sub-4167																
sub-4168																
sub-4169																
sub-4172																
sub-4173																
sub-4174																
sub-4175																
sub-4177																
sub-4184																
sub-4186																
sub-4188																
sub-4189																
sub-4190																
sub-4191																
sub-4192																
sub-4193																
sub-4196																
sub-4197																
sub-4198																
sub-4201																
sub-4203																
sub-4206																
sub-4207																
sub-4209																
sub-4210																
sub-4212																
sub-4215														2022-03-25 09:12:51	2022-03-25 09:12:51	
sub-4216														2022-03-25 09:13:25	2022-03-25 09:13:25	
sub-4217														2022-03-25 09:13:30	2022-03-25 09:13:30	
sub-4219																
sub-4220														2022-04-07 12:01:18	2022-04-07 12:01:18	
sub-4221																
sub-4222																
sub-4223																2022-04-07 11:37:50
sub-4229																2022-04-07 11:43:37
